country,year,section,total_words,negative_count,positive_count,negative_ratio,positive_ratio,net_sentiment,accession_year,chapter_number,closure_year,years_to_closure,years_to_accession
Estonia,2000,Chapter 10: Taxation,622,10,7,16.07717041800643,11.254019292604502,-4.823151125401926,2004,10,2002.0,2.0,4
Estonia,2000,Chapter 11: Economic and Monetary Union,314,0,1,0.0,3.1847133757961785,3.1847133757961785,2004,11,1999.0,-1.0,4
Estonia,2000,Chapter 12: Statistics,411,1,7,2.4330900243309004,17.0316301703163,14.598540145985401,2004,12,1999.0,-1.0,4
Estonia,2000,Chapter 13: Social Policy and Employment,1410,25,17,17.73049645390071,12.056737588652481,-5.673758865248228,2004,13,2000.0,0.0,4
Estonia,2000,Chapter 14: Energy,552,3,8,5.434782608695652,14.492753623188406,9.057971014492754,2004,14,2002.0,2.0,4
Estonia,2000,Chapter 15: Industry,499,9,8,18.03607214428858,16.03206412825651,-2.004008016032067,2004,15,1999.0,-1.0,4
Estonia,2000,Chapter 16: Small and Medium Enterprises,378,2,5,5.291005291005291,13.227513227513226,7.936507936507935,2004,16,1998.0,-2.0,4
Estonia,2000,Chapter 17: Science and research,297,0,7,0.0,23.56902356902357,23.56902356902357,2004,17,1998.0,-2.0,4
Estonia,2000,Chapter 18: Education and Training,413,3,7,7.263922518159807,16.949152542372882,9.685230024213077,2004,18,1998.0,-2.0,4
Estonia,2000,Chapter 19: Telecommunications and information technologies,581,2,7,3.442340791738382,12.048192771084338,8.605851979345957,2004,19,1999.0,-1.0,4
Estonia,2000,Chapter 20: Culture and audio-visual policy,256,0,5,0.0,19.53125,19.53125,2004,20,2000.0,0.0,4
Estonia,2000,Chapter 21: Regional Policy and co-ordination of structural instruments,789,5,9,6.337135614702154,11.406844106463879,5.069708491761725,2004,21,2002.0,2.0,4
Estonia,2000,Chapter 22: Environment,1744,23,19,13.188073394495413,10.894495412844037,-2.293577981651376,2004,22,2001.0,1.0,4
Estonia,2000,Chapter 23: Consumers and health protection,382,10,4,26.17801047120419,10.471204188481677,-15.706806282722512,2004,23,1999.0,-1.0,4
Estonia,2000,Chapter 24: Co-operation in the field of justice and home affairs,2128,85,24,39.943609022556394,11.278195488721805,-28.665413533834588,2004,24,2002.0,2.0,4
Estonia,2000,Chapter 25: Customs union,776,16,16,20.61855670103093,20.61855670103093,0.0,2004,25,2002.0,2.0,4
Estonia,2000,Chapter 26: External relations,671,3,7,4.470938897168406,10.432190760059614,5.961251862891208,2004,26,2000.0,0.0,4
Estonia,2000,Chapter 27: Common Foreign and Security Policy,452,1,7,2.2123893805309733,15.486725663716815,13.274336283185841,2004,27,2000.0,0.0,4
Estonia,2000,Chapter 28: Financial Control,844,9,9,10.66350710900474,10.66350710900474,0.0,2004,28,2001.0,1.0,4
Estonia,2000,Chapter 29: Financial and budgetary provisions,334,3,6,8.982035928143713,17.964071856287426,8.982035928143713,2004,29,2002.0,2.0,4
Estonia,2001,Chapter 1: Free movement of Goods,1043,15,12,14.381591562799617,11.505273250239693,-2.876318312559924,2004,1,2000.0,-1.0,3
Estonia,2001,Chapter 2: Free movement of Persons,527,4,5,7.590132827324478,9.487666034155597,1.8975332068311186,2004,2,2002.0,1.0,3
Estonia,2001,Chapter 3: Freedom to provide services,864,10,9,11.574074074074073,10.416666666666666,-1.1574074074074066,2004,3,2001.0,0.0,3
Estonia,2001,Chapter 4: Free movement of capital,589,19,4,32.25806451612903,6.791171477079796,-25.466893039049236,2004,4,2000.0,-1.0,3
Estonia,2001,Chapter 5: Company law,589,24,12,40.74702886247878,20.37351443123939,-20.37351443123939,2004,5,2000.0,-1.0,3
Estonia,2001,Chapter 6: Competition policy,508,9,7,17.716535433070867,13.779527559055119,-3.937007874015748,2004,6,2001.0,0.0,3
Estonia,2001,Chapter 7: Agriculture,3050,32,39,10.491803278688524,12.786885245901638,2.2950819672131146,2004,7,2002.0,1.0,3
Estonia,2001,Chapter 8: Fisheries,1330,8,20,6.015037593984963,15.037593984962406,9.022556390977442,2004,8,2000.0,-1.0,3
Estonia,2001,Chapter 9: Transport policy,907,14,14,15.435501653803748,15.435501653803748,0.0,2004,9,2002.0,1.0,3
Estonia,2001,Chapter 10: Taxation,489,12,5,24.539877300613497,10.224948875255624,-14.314928425357873,2004,10,2002.0,1.0,3
Estonia,2001,Chapter 11: Economic and Monetary Union,284,2,0,7.042253521126761,0.0,-7.042253521126761,2004,11,1999.0,-2.0,3
Estonia,2001,Chapter 12: Statistics,582,0,9,0.0,15.463917525773196,15.463917525773196,2004,12,1999.0,-2.0,3
Estonia,2001,Chapter 13: Social Policy and Employment,1320,28,21,21.212121212121215,15.909090909090908,-5.303030303030306,2004,13,2000.0,-1.0,3
Estonia,2001,Chapter 14: Energy,891,13,13,14.590347923681257,14.590347923681257,0.0,2004,14,2002.0,1.0,3
Estonia,2001,Chapter 15: Industry,805,8,8,9.937888198757765,9.937888198757765,0.0,2004,15,1999.0,-2.0,3
Estonia,2001,Chapter 16: Small and Medium Enterprises,502,5,12,9.9601593625498,23.904382470119522,13.944223107569721,2004,16,1998.0,-3.0,3
Estonia,2001,Chapter 17: Science and research,214,0,6,0.0,28.037383177570092,28.037383177570092,2004,17,1998.0,-3.0,3
Estonia,2001,Chapter 18: Education and Training,347,1,8,2.881844380403458,23.054755043227665,20.172910662824208,2004,18,1998.0,-3.0,3
Estonia,2001,Chapter 19: Telecommunications and information technologies,776,8,11,10.309278350515465,14.175257731958762,3.8659793814432977,2004,19,1999.0,-2.0,3
Estonia,2001,Chapter 20: Culture and audio-visual policy,207,1,2,4.830917874396135,9.66183574879227,4.830917874396135,2004,20,2000.0,-1.0,3
Estonia,2001,Chapter 21: Regional Policy and co-ordination of structural instruments,922,2,16,2.1691973969631237,17.35357917570499,15.184381778741866,2004,21,2002.0,1.0,3
Estonia,2001,Chapter 22: Environment,1203,12,15,9.975062344139651,12.468827930174564,2.493765586034913,2004,22,2001.0,0.0,3
Estonia,2001,Chapter 23: Consumers and health protection,471,10,4,21.231422505307854,8.492569002123142,-12.738853503184712,2004,23,1999.0,-2.0,3
Estonia,2001,Chapter 24: Co-operation in the field of justice and home affairs,2062,59,32,28.612997090203685,15.518913676042677,-13.094083414161007,2004,24,2002.0,1.0,3
Estonia,2001,Chapter 25: Customs union,826,18,10,21.791767554479417,12.106537530266344,-9.685230024213073,2004,25,2002.0,1.0,3
Estonia,2001,Chapter 26: External relations,781,5,2,6.402048655569782,2.560819462227913,-3.8412291933418694,2004,26,2000.0,-1.0,3
Estonia,2001,Chapter 27: Common Foreign and Security Policy,595,5,7,8.403361344537815,11.76470588235294,3.3613445378151248,2004,27,2000.0,-1.0,3
Estonia,2001,Chapter 28: Financial Control,549,7,12,12.750455373406194,21.85792349726776,9.107468123861565,2004,28,2001.0,0.0,3
Estonia,2001,Chapter 29: Financial and budgetary provisions,632,6,12,9.49367088607595,18.9873417721519,9.49367088607595,2004,29,2002.0,1.0,3
Estonia,2002,Chapter 1: Free movement of Goods,1319,19,12,14.404852160727824,9.097801364670204,-5.30705079605762,2004,1,2000.0,-2.0,2
Estonia,2002,Chapter 2: Free movement of Persons,875,7,13,8.0,14.857142857142858,6.857142857142858,2004,2,2002.0,0.0,2
Estonia,2002,Chapter 3: Freedom to provide services,906,15,7,16.55629139072848,7.72626931567329,-8.83002207505519,2004,3,2001.0,-1.0,2
Estonia,2002,Chapter 4: Free movement of capital,717,18,11,25.10460251046025,15.341701534170154,-9.762900976290096,2004,4,2000.0,-2.0,2
Estonia,2002,Chapter 5: Company law,794,15,13,18.891687657430733,16.3727959697733,-2.518891687657433,2004,5,2000.0,-2.0,2
Estonia,2002,Chapter 6: Competition policy,823,16,11,19.441069258809232,13.365735115431349,-6.075334143377884,2004,6,2001.0,-1.0,2
Estonia,2002,Chapter 7: Agriculture,2638,17,31,6.444275966641395,11.751326762699014,5.307050796057619,2004,7,2002.0,0.0,2
Estonia,2002,Chapter 8: Fisheries,1411,13,16,9.213323883770375,11.339475549255848,2.126151665485473,2004,8,2000.0,-2.0,2
Estonia,2002,Chapter 9: Transport policy,1100,14,21,12.727272727272728,19.090909090909093,6.363636363636365,2004,9,2002.0,0.0,2
Estonia,2002,Chapter 10: Taxation,917,24,9,26.172300981461287,9.814612868047982,-16.357688113413303,2004,10,2002.0,0.0,2
Estonia,2002,Chapter 11: Economic and Monetary Union,463,4,3,8.639308855291578,6.479481641468682,-2.1598272138228953,2004,11,1999.0,-3.0,2
Estonia,2002,Chapter 12: Statistics,876,10,16,11.415525114155251,18.2648401826484,6.849315068493148,2004,12,1999.0,-3.0,2
Estonia,2002,Chapter 13: Social Policy and Employment,1851,20,34,10.804970286331713,18.36844948676391,7.563479200432198,2004,13,2000.0,-2.0,2
Estonia,2002,Chapter 14: Energy,1351,20,25,14.803849000740191,18.504811250925243,3.700962250185052,2004,14,2002.0,0.0,2
Estonia,2002,Chapter 15: Industry,910,10,17,10.989010989010989,18.681318681318682,7.692307692307693,2004,15,1999.0,-3.0,2
Estonia,2002,Chapter 16: Small and Medium Enterprises,892,10,21,11.210762331838565,23.542600896860986,12.331838565022421,2004,16,1998.0,-4.0,2
Estonia,2002,Chapter 17: Science and research,471,3,12,6.369426751592357,25.477707006369428,19.10828025477707,2004,17,1998.0,-4.0,2
Estonia,2002,Chapter 18: Education and Training,533,3,8,5.628517823639775,15.0093808630394,9.380863039399625,2004,18,1998.0,-4.0,2
Estonia,2002,Chapter 19: Telecommunications and information technologies,889,4,11,4.499437570303712,12.373453318335208,7.874015748031496,2004,19,1999.0,-3.0,2
Estonia,2002,Chapter 20: Culture and audio-visual policy,425,2,3,4.705882352941176,7.058823529411765,2.3529411764705896,2004,20,2000.0,-2.0,2
Estonia,2002,Chapter 21: Regional Policy and co-ordination of structural instruments,1238,7,19,5.654281098546042,15.347334410339256,9.693053311793214,2004,21,2002.0,0.0,2
Estonia,2002,Chapter 22: Environment,1417,17,25,11.997177134791814,17.642907551164434,5.64573041637262,2004,22,2001.0,-1.0,2
Estonia,2002,Chapter 23: Consumers and health protection,809,14,17,17.3053152039555,21.013597033374538,3.708281829419036,2004,23,1999.0,-3.0,2
Estonia,2002,Chapter 24: Co-operation in the field of justice and home affairs,3442,105,48,30.5055200464846,13.945380592678676,-16.560139453805924,2004,24,2002.0,0.0,2
Estonia,2002,Chapter 25: Customs union,803,18,15,22.415940224159403,18.679950186799502,-3.735990037359901,2004,25,2002.0,0.0,2
Estonia,2002,Chapter 26: External relations,1043,15,8,14.381591562799617,7.670182166826462,-6.711409395973155,2004,26,2000.0,-2.0,2
Estonia,2002,Chapter 27: Common Foreign and Security Policy,789,6,8,7.604562737642586,10.139416983523446,2.5348542458808607,2004,27,2000.0,-2.0,2
Estonia,2002,Chapter 28: Financial Control,1157,10,21,8.64304235090752,18.15038893690579,9.507346585998272,2004,28,2001.0,-1.0,2
Estonia,2002,Chapter 29: Financial and budgetary provisions,1277,9,26,7.047768206734534,20.360219263899765,13.31245105716523,2004,29,2002.0,0.0,2
Latvia,1998,Chapter 1: Free movement of Goods,225,5,4,22.22222222222222,17.77777777777778,-4.444444444444443,2004,1,2001.0,3.0,6
Latvia,1998,Chapter 2: Free movement of Persons,85,0,0,0.0,0.0,0.0,2004,2,2001.0,3.0,6
Latvia,1998,Chapter 3: Freedom to provide services,247,2,2,8.097165991902834,8.097165991902834,0.0,2004,3,2001.0,3.0,6
Latvia,1998,Chapter 4: Free movement of capital,47,0,0,0.0,0.0,0.0,2004,4,2001.0,3.0,6
Latvia,1998,Chapter 6: Competition policy,227,6,0,26.431718061674008,0.0,-26.431718061674008,2004,6,2001.0,3.0,6
Latvia,1998,Chapter 7: Agriculture,572,11,8,19.230769230769234,13.986013986013987,-5.244755244755247,2004,7,2002.0,4.0,6
Latvia,1998,Chapter 8: Fisheries,59,0,0,0.0,0.0,0.0,2004,8,2001.0,3.0,6
